review_check,status,review_notes,change_made,what_to_record
Layer 1 · Package consistency,,,,
Layer 1 · Clarity and scope,,,,
Layer 1 · Realism and leakage,,,,
Layer 2 · Difficulty,,,,
Layer 2 · Solvability,,,,
Layer 2 · Stability,,,,
Layer 3 · Oracle Mode,,,,
Layer 4 · Environment and files,,,,
Layer 4 · Connectors, MCPs, and CLIs,,,,
Layer 4 · Deliverables and artifact quality,,,,
Layer 5 · Verifier coverage and fairness,,,,
Layer 5 · LLM judge consistency,,,,
Layer 5 · Reward hacking and exploitability,,,,
Cross-trial · Calibration,,,,
